split,eval_type,refrigerant,n_samples,pct_of_split,mae_m0,r2_m0,mae_thermo,r2_thermo,mae_reduced,r2_reduced,mae_improvement_m0_minus_red,pct_mae_reduction,win_rate_red_vs_m0_pct
B2,raw,R236fa,25,4.1806020066889635,0.04852643160521983,-1.3564261012843941,0.013109264716506005,0.7831202206684132,0.010891025528311725,0.8453757008021052,0.0376354060769081,77.55650854999152,96.0
B2,raw,R245fa,25,4.1806020066889635,0.021106262490153307,0.4978501788846037,0.01685279023647309,0.6311648849279006,0.019713582307100307,0.44874166352627143,0.0013926801830530001,6.5984215997632285,44.0
B2,raw,R32,113,18.896321070234116,0.041010547887154775,0.8976516179629944,0.043629722283592666,0.8844891195118283,0.0369431967933588,0.9124022064966969,0.004067351093795975,9.917817008901606,65.48672566371681
B2,raw,R41,34,5.68561872909699,0.030900454833446188,0.9328571449288074,0.04309013327857589,0.8790040231786959,0.0376052725375356,0.9148812967573066,-0.006704817704089414,-21.698119785706908,44.11764705882353
B2,clipped,R125,80,13.377926421404682,0.10513217004132458,-0.2254608268287983,0.09544970221002587,-0.005807484889321257,0.08605041931732557,0.17937075068581176,0.019081750723999008,18.15024907837296,98.75
B2,clipped,R134,30,5.016722408026756,0.04556127517173689,0.9214409066884545,0.06810557062427204,0.8030486307680414,0.06769322079916794,0.8211947936439322,-0.02213194562743105,-48.57622080156396,40.0
B2,clipped,R134a,106,17.725752508361204,0.04108619413883337,0.8901094823121501,0.03661348749619891,0.9102045853224636,0.03724357959339921,0.9089220470606091,0.0038426145454341573,9.352568730142469,55.660377358490564
B2,clipped,R143a,41,6.856187290969899,0.04014370176861654,0.31043998317035404,0.058039440475290686,-0.45103189755196604,0.06300328090593856,-0.7232079061350514,-0.022859579137322013,-56.944372666681,12.195121951219512
B2,clipped,R152a,33,5.518394648829431,0.051498824786959274,0.8167584210653033,0.04916474035743511,0.8101822727320567,0.04378009665418754,0.8587495410341383,0.007718728132771732,14.988163641991104,78.78787878787878
B2,clipped,R161,35,5.852842809364549,0.033885197961436846,0.853997554418216,0.03337583887523839,0.9042100392978252,0.03853884467855096,0.8931205044183304,-0.0046536467171141155,-13.733568038794438,34.285714285714285
B2,clipped,R227ea,25,4.1806020066889635,0.08808957923948764,-11.91707643520917,0.06117264501750468,-5.361829754236621,0.05129958416521549,-3.4314110632167223,0.03678999507427215,41.7642987875465,100.0
B2,clipped,R23,51,8.528428093645484,0.05318724992411102,0.6008912395239036,0.048507799666521016,0.701379280496816,0.05031973055801262,0.691798460546809,0.0028675193660984005,5.391366107835719,58.82352941176471
B2,clipped,R236fa,25,4.1806020066889635,0.04852643160521983,-1.3564261012843941,0.013109264716506005,0.7831202206684132,0.010891025528311725,0.8453757008021052,0.0376354060769081,77.55650854999152,96.0
B2,clipped,R245fa,25,4.1806020066889635,0.021106262490153307,0.4978501788846037,0.01685279023647309,0.6311648849279006,0.019713582307100307,0.44874166352627143,0.0013926801830530001,6.5984215997632285,44.0
B2,clipped,R32,113,18.896321070234116,0.04104710734713064,0.8976432259541451,0.043379781938743145,0.8845832267943814,0.0368571020444377,0.9124212638335681,0.004190005302692944,10.207796781533357,68.14159292035397
B2,clipped,R41,34,5.68561872909699,0.030314242264584595,0.9330618483975883,0.04155743573244443,0.8804746333474277,0.036366466717684974,0.9160543651229762,-0.0060522244531003785,-19.964953767526783,41.17647058823529
