split,chemical_system,cation,anion,refrigerant,n_state_points,mode,system_mae,system_rmse
B1,[empy]__[PFBS]__R134a,[empy],[PFBS],R134a,11,Mreduced,0.019007122313434453,0.023832609061170518
B1,[empy]__[PFBS]__R32,[empy],[PFBS],R32,9,M0,0.007879647115866337,0.009129461681613056
B1,[empy]__[PFBS]__R32,[empy],[PFBS],R32,9,Mthermo,0.008012930986781889,0.009126794604374438
B1,[empy]__[PFBS]__R32,[empy],[PFBS],R32,9,Mreduced,0.009841631808214697,0.010685342596426683
B1,[hmim]__[OTf]__R125,[hmim],[OTf],R125,5,M0,0.012137101069092745,0.012330376615732754
B1,[hmim]__[OTf]__R125,[hmim],[OTf],R125,5,Mthermo,0.011065635383129118,0.011119912402087054
B1,[hmim]__[OTf]__R125,[hmim],[OTf],R125,5,Mreduced,0.007665385305881496,0.007693613729937449
B1,[hmim]__[OTf]__R143a,[hmim],[OTf],R143a,5,M0,0.005294748172163956,0.005856174215828375
B1,[hmim]__[OTf]__R143a,[hmim],[OTf],R143a,5,Mthermo,0.006895328983664508,0.007173680206081905
B1,[hmim]__[OTf]__R143a,[hmim],[OTf],R143a,5,Mreduced,0.005676875934004766,0.005942958648575333
B1,[hmim]__[OTf]__R152a,[hmim],[OTf],R152a,5,M0,0.010962616801261921,0.01161590822145209
B1,[hmim]__[OTf]__R152a,[hmim],[OTf],R152a,5,Mthermo,0.007929350286722207,0.008027678258828153
B1,[hmim]__[OTf]__R152a,[hmim],[OTf],R152a,5,Mreduced,0.005453373789787298,0.005863048636808392
B1,[hmim]__[OTf]__R161,[hmim],[OTf],R161,5,M0,0.0039617156237363865,0.004031371223018807
B1,[hmim]__[OTf]__R161,[hmim],[OTf],R161,5,Mthermo,0.003828047662973369,0.00459994056424158
B1,[hmim]__[OTf]__R161,[hmim],[OTf],R161,5,Mreduced,0.004170435965061186,0.0052852691651387165
B1,[hmim]__[OTf]__R32,[hmim],[OTf],R32,5,M0,0.012839714810252183,0.01292074794247068
B1,[hmim]__[OTf]__R32,[hmim],[OTf],R32,5,Mthermo,0.014158572182059284,0.014337213742138755
B1,[hmim]__[OTf]__R32,[hmim],[OTf],R32,5,Mreduced,0.011929714158177371,0.012074788379007552
B1,[omim]__[TFES]__R23,[omim],[TFES],R23,37,M0,0.01586737933795194,0.0200297520163999
B1,[omim]__[TFES]__R23,[omim],[TFES],R23,37,Mthermo,0.0201083081698901,0.023492642005267808
B1,[omim]__[TFES]__R23,[omim],[TFES],R23,37,Mreduced,0.023441698633738465,0.02887185746646715
B2,[bmim]__[BF4]__R125,[bmim],[BF4],R125,7,M0,0.13507677745074034,0.15513537001686628
B2,[bmim]__[BF4]__R125,[bmim],[BF4],R125,7,Mthermo,0.13103728387504815,0.1496977665246969
B2,[bmim]__[BF4]__R125,[bmim],[BF4],R125,7,Mreduced,0.1162978988939098,0.1325416791132101
B2,[bmim]__[BF4]__R32,[bmim],[BF4],R32,38,M0,0.05343773769533358,0.07606554755710727
B2,[bmim]__[BF4]__R32,[bmim],[BF4],R32,38,Mthermo,0.060526544371570803,0.08298554757248873
B2,[bmim]__[BF4]__R32,[bmim],[BF4],R32,38,Mreduced,0.05180848026280536,0.07331826487612694
B2,[bmim]__[PF6]__R125,[bmim],[PF6],R125,43,M0,0.1218495739775515,0.14639998608062635
B2,[bmim]__[PF6]__R125,[bmim],[PF6],R125,43,Mthermo,0.10545056183107718,0.12655710122468367
B2,[bmim]__[PF6]__R125,[bmim],[PF6],R125,43,Mreduced,0.09615287864580752,0.11540654756336834
B2,[bmim]__[PF6]__R134,[bmim],[PF6],R134,30,M0,0.04556127517173689,0.06249892802559469
B2,[bmim]__[PF6]__R134,[bmim],[PF6],R134,30,Mthermo,0.06810557062427204,0.09895866765035921
B2,[bmim]__[PF6]__R134,[bmim],[PF6],R134,30,Mreduced,0.06769322079916794,0.09428973547273543
B2,[bmim]__[PF6]__R134a,[bmim],[PF6],R134a,32,M0,0.026076834992272778,0.05534965786925633
B2,[bmim]__[PF6]__R134a,[bmim],[PF6],R134a,32,Mthermo,0.02868227484286763,0.05715418748375087
B2,[bmim]__[PF6]__R134a,[bmim],[PF6],R134a,32,Mreduced,0.028764331253478298,0.05678127172829502
B2,[bmim]__[PF6]__R143a,[bmim],[PF6],R143a,36,M0,0.04366534023558618,0.05535260263369443
B2,[bmim]__[PF6]__R143a,[bmim],[PF6],R143a,36,Mthermo,0.0645549344953098,0.08050600545504
B2,[bmim]__[PF6]__R143a,[bmim],[PF6],R143a,36,Mreduced,0.06936150268949051,0.08762503596898115
B2,[bmim]__[PF6]__R152a,[bmim],[PF6],R152a,28,M0,0.05799388236233166,0.08756613777186237
B2,[bmim]__[PF6]__R152a,[bmim],[PF6],R152a,28,Mthermo,0.05698008703600083,0.08933235873681432
B2,[bmim]__[PF6]__R152a,[bmim],[PF6],R152a,28,Mreduced,0.050022885655718184,0.07697503513264056
B2,[bmim]__[PF6]__R161,[bmim],[PF6],R161,30,M0,0.038769108432655526,0.06250829451429797
B2,[bmim]__[PF6]__R161,[bmim],[PF6],R161,30,Mthermo,0.03901978071468573,0.05070384772133919
B2,[bmim]__[PF6]__R161,[bmim],[PF6],R161,30,Mreduced,0.044060122988497236,0.05345803582052869
