case_id,sample_id,seed,y_target,y_base,graph_output_sensitivity,global_node_sensitivity_L1,global_node_sensitivity_L2,global_node_sensitivity_L3,node_attribution_norm,edge_attribution_norm,graph_active_flag,graph_activity_reason,specific_smarts_coverage,other_atom_fraction,top_group_name,top_group_component,delta_y_top,delta_y_rand_comp,r_faith_component_matched,r_faith_global_matched,faithfulness_zero_denominator,faithfulness_valid
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.15,43,0.5370712280273438,0.5370711088180542,1.1920928955078125e-07,0.0013954384485259652,1.0005158401327208e-05,1.3934914022684097e-06,1.0634079172788802e-07,0.0,False,Head Insensitivity (L1 active but head collapsed),88.57142857142857,11.428571428571429,CF3,Anion,5.960464477539063e-08,5.1657358805338543e-08,1.1538461538461537,1.0,True,False
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.15,44,0.5793797373771667,0.5793797373771667,0.0,3.3853449821208415e-08,2.9103830456733704e-11,0.0,0.0,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),88.57142857142857,11.428571428571429,Imidazolium_Ring,Cation,0.0,0.0,0.0,0.0,True,False
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.15,45,0.5633625388145447,0.5460289716720581,0.017333567142486572,0.11768221855163574,0.11660674959421158,0.09558606147766113,0.1780345868319257,0.0,True,Significant Sensitivity (|Δy_graph| >= 1e-3),88.57142857142857,11.428571428571429,CHF2,Refri,0.009280383586883545,0.009280383586883545,1.0,1.000001284531416,False,True
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.15,46,0.5679517388343811,0.5679517388343811,0.0,1.1795188159524628e-09,0.0,0.0,7.407033104602717e-19,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),88.57142857142857,11.428571428571429,CF3,Anion,0.0,0.0,0.0,0.0,True,False
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.1502,42,0.36863958835601807,0.36863964796066284,5.960464477539063e-08,0.0008706170483492315,1.365168373013148e-05,1.3708005326407147e-06,9.523100852337762e-08,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),88.57142857142857,11.428571428571429,CF3,Anion,0.0,0.0,0.0,0.6818181818181819,True,False
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.1502,43,0.3470168709754944,0.3470168113708496,5.960464477539063e-08,0.0013998749200254679,1.00357801784412e-05,1.3965234302304452e-06,8.84361069930506e-08,0.0,False,Head Insensitivity (L1 active but head collapsed),88.57142857142857,11.428571428571429,CF3,Anion,0.0,0.0,0.0,0.0,True,False
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.1502,44,0.35981887578964233,0.35981887578964233,0.0,3.3853449821208415e-08,2.9103830456733704e-11,0.0,0.0,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),88.57142857142857,11.428571428571429,Imidazolium_Ring,Cation,0.0,0.0,0.0,0.0,True,False
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.1502,45,0.350929856300354,0.16967244446277618,0.18125741183757782,1.1242932081222534,0.21172110736370087,0.4165537655353546,0.38959027151577047,0.0,True,Significant Sensitivity (|Δy_graph| >= 1e-3),88.57142857142857,11.428571428571429,CH2F,Refri,0.18375864624977112,0.0006144265333811442,299.07342255966836,306.5090025153356,False,True
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.1502,46,0.3552933931350708,0.3552933931350708,0.0,1.1795188159524628e-09,0.0,0.0,7.573277372070471e-19,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),88.57142857142857,11.428571428571429,CF3,Anion,0.0,0.0,0.0,0.0,True,False
Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.01,42,0.010375231504440308,0.010375231504440308,0.0,1.9199706269290573e-09,0.0,0.0,0.0,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),100.0,0.0,Imidazolium_Ring,Cation,0.0,0.0,0.0,0.0,True,False
