sample_id,npy_idx,excel_pos,cation,anion,refrigerant,T_K,P_MPa,x1,anion_smiles,cation_smiles,refri_smiles,sheet
[emim]__[BEI]__R32__298.15__0.0997,38,38,[emim],[BEI],R32,298.15,0.0997,0.104,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R32__298.15__0.2496,39,39,[emim],[BEI],R32,298.15,0.2496,0.238,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R32__298.15__0.3996,40,40,[emim],[BEI],R32,298.15,0.3996,0.349,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R32__298.15__0.5493,41,41,[emim],[BEI],R32,298.15,0.5493,0.445,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R32__298.15__0.6993,42,42,[emim],[BEI],R32,298.15,0.6993,0.529,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R32__298.15__0.8503,43,43,[emim],[BEI],R32,298.15,0.8503,0.603,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R32__298.15__1.0005,44,44,[emim],[BEI],R32,298.15,1.0005,0.672,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R32__323.15__0.01,45,45,[emim],[BEI],R32,323.15,0.01,0.004,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R32__323.15__0.0997,46,46,[emim],[BEI],R32,323.15,0.0997,0.059,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R32__323.15__0.2497,47,47,[emim],[BEI],R32,323.15,0.2497,0.146,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R32__323.15__0.3996,48,48,[emim],[BEI],R32,323.15,0.3996,0.221,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R32__323.15__0.5495,49,49,[emim],[BEI],R32,323.15,0.5495,0.288,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R32__323.15__0.6995,50,50,[emim],[BEI],R32,323.15,0.6995,0.348,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R32__323.15__0.8504,51,51,[emim],[BEI],R32,323.15,0.8504,0.4029999999999999,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R32__323.15__0.9993,52,52,[emim],[BEI],R32,323.15,0.9993,0.4539999999999999,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R32__348.05__0.0101,53,53,[emim],[BEI],R32,348.05,0.0101,0.001,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R32__348.15__0.1,54,54,[emim],[BEI],R32,348.15,0.1,0.038,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R32__348.05__0.2501,55,55,[emim],[BEI],R32,348.05,0.2501,0.095,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R32__348.05__0.3992,56,56,[emim],[BEI],R32,348.05,0.3992,0.147,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R32__348.05__0.5496,57,57,[emim],[BEI],R32,348.05,0.5496,0.196,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R32__348.05__0.6996,58,58,[emim],[BEI],R32,348.05,0.6996,0.241,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R32__348.05__0.8504,59,59,[emim],[BEI],R32,348.05,0.8504,0.283,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R32__348.05__0.9994,60,60,[emim],[BEI],R32,348.05,0.9994,0.321,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134__283.149__0.01,61,61,[emim],[BEI],R134,283.149,0.01,0.039,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134__283.123__0.05,62,62,[emim],[BEI],R134,283.123,0.05,0.236,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134__283.132__0.1,63,63,[emim],[BEI],R134,283.13199999999995,0.1,0.43,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
