npy_idx,excel_pos,cation,anion,refrigerant,T_K,P_MPa,x1,anion_smiles,cation_smiles,refri_smiles,sheet
1481,1481,[hmim],[BF4],R227ea,343.15,0.169,0.0284,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)C(F)C(F)(F)F,Table S3. VLE HFCs
1482,1482,[hmim],[BF4],R227ea,343.15,0.242,0.0427,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)C(F)C(F)(F)F,Table S3. VLE HFCs
1483,1483,[hmim],[BF4],R227ea,343.15,0.272,0.0497,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)C(F)C(F)(F)F,Table S3. VLE HFCs
1484,1484,[hmim],[BF4],R227ea,343.15,0.332,0.0625,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)C(F)C(F)(F)F,Table S3. VLE HFCs
1485,1485,[hmim],[Cl],R32,298.15,0.05,0.021,[Cl-],C(CCCCC)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
1486,1486,[hmim],[Cl],R32,298.15,0.1,0.044,[Cl-],C(CCCCC)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
1487,1487,[hmim],[Cl],R32,298.15,0.2,0.092,[Cl-],C(CCCCC)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
1488,1488,[hmim],[Cl],R32,298.15,0.4,0.186,[Cl-],C(CCCCC)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
1489,1489,[hmim],[Cl],R32,298.15,0.6,0.272,[Cl-],C(CCCCC)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
1490,1490,[hmim],[Cl],R32,298.15,0.8,0.645,[Cl-],C(CCCCC)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
1491,1491,[hmim],[Cl],R32,298.15,1.0,0.41,[Cl-],C(CCCCC)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
1492,1492,[hmim],[Cl],R125,298.15,0.05,0.04,[Cl-],C(CCCCC)[N+]1=CN(C=C1)C,C(F)(F)(C(F)(F)F),Table S3. VLE HFCs
1493,1493,[hmim],[Cl],R125,298.15,0.1,0.079,[Cl-],C(CCCCC)[N+]1=CN(C=C1)C,C(F)(F)(C(F)(F)F),Table S3. VLE HFCs
1494,1494,[hmim],[Cl],R125,298.15,0.2,0.16,[Cl-],C(CCCCC)[N+]1=CN(C=C1)C,C(F)(F)(C(F)(F)F),Table S3. VLE HFCs
1495,1495,[hmim],[Cl],R125,298.15,0.4,0.29,[Cl-],C(CCCCC)[N+]1=CN(C=C1)C,C(F)(F)(C(F)(F)F),Table S3. VLE HFCs
1496,1496,[hmim],[Cl],R125,298.15,0.6,0.414,[Cl-],C(CCCCC)[N+]1=CN(C=C1)C,C(F)(F)(C(F)(F)F),Table S3. VLE HFCs
1497,1497,[hmim],[Cl],R125,298.15,0.8,0.543,[Cl-],C(CCCCC)[N+]1=CN(C=C1)C,C(F)(F)(C(F)(F)F),Table S3. VLE HFCs
1498,1498,[hmim],[Cl],R125,298.15,1.0,0.654,[Cl-],C(CCCCC)[N+]1=CN(C=C1)C,C(F)(F)(C(F)(F)F),Table S3. VLE HFCs
1499,1499,[hmim],[FEP],R32,293.3,0.051,0.0809,F[P-](F)(F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
1500,1500,[hmim],[FEP],R32,294.8,0.097,0.1409,F[P-](F)(F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
1501,1501,[hmim],[FEP],R32,293.2,0.137,0.2034,F[P-](F)(F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
1502,1502,[hmim],[FEP],R32,293.1,0.172,0.2462,F[P-](F)(F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
1503,1503,[hmim],[FEP],R32,293.2,0.223,0.3026,F[P-](F)(F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
1504,1504,[hmim],[FEP],R32,293.2,0.27,0.3493,F[P-](F)(F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
1505,1505,[hmim],[FEP],R32,303.1,0.06,0.0734,F[P-](F)(F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
1506,1506,[hmim],[FEP],R32,303.1,0.109,0.1317,F[P-](F)(F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
1507,1507,[hmim],[FEP],R32,303.1,0.159,0.189,F[P-](F)(F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
