sample_id,npy_idx,excel_pos,cation,anion,refrigerant,T_K,P_MPa,x1,anion_smiles,cation_smiles,refri_smiles,sheet,ens_ae_v6,ens_ae_v7,delta_ae,abs_err_v7,pred_v7,pred_v6
[emim]__[OTf]__R32__323.17__0.598,238,238,[emim],[OTf],R32,323.17,0.598,0.197,FC(F)(F)S(=O)(=O)[O-],C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.007778090119361869,0.003959390000000007,0.003818700119361862,0.003959390000000007,0.20095939000000002,0.20477809011936188
[emim]__[OTf]__R152a__298.15__0.173,263,263,[emim],[OTf],R152a,298.15,0.173,0.135,FC(F)(F)S(=O)(=O)[O-],C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs,0.03513557851314544,0.034454758,0.0006808205131454415,0.034454758,0.169454758,0.17013557851314545
[emim]__[OTf]__R152a__323.14__0.116,267,267,[emim],[OTf],R152a,323.14,0.116,0.061,FC(F)(F)S(=O)(=O)[O-],C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs,0.007401829898357387,0.008645678000000004,-0.0012438481016426167,0.008645678000000004,0.069645678,0.06840182989835739
[emim]__[OTf]__R152a__323.14__0.756,273,273,[emim],[OTf],R152a,323.14,0.756,0.473,FC(F)(F)S(=O)(=O)[O-],C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs,0.04385022330284116,0.031253969999999964,0.012596253302841198,0.031253969999999964,0.44174603,0.4291497766971588
[emim]__[OTf]__R134a__293.15__0.3653,305,305,[emim],[OTf],R134a,293.15,0.3653,0.3483,FC(F)(F)S(=O)(=O)[O-],C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.015405352878570533,0.005254609999999993,0.01015074287857054,0.005254609999999993,0.34304539,0.33289464712142947
[emim]__[OTf]__R134a__303.15__0.2178,308,308,[emim],[OTf],R134a,303.15,0.2178,0.1403,FC(F)(F)S(=O)(=O)[O-],C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.008156550216674802,0.009020880000000009,-0.0008643297833252073,0.009020880000000009,0.13127912,0.1321434497833252
[emim]__[OTf]__R134a__313.15__0.1247,313,313,[emim],[OTf],R134a,313.15,0.1247,0.0574,FC(F)(F)S(=O)(=O)[O-],C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.0007032162487506863,0.0043848657999999985,-0.003681649551249312,0.0043848657999999985,0.0617848658,0.05669678375124931
[emim]__[OTf]__R134a__313.15__0.4049,317,317,[emim],[OTf],R134a,313.15,0.4049,0.1869,FC(F)(F)S(=O)(=O)[O-],C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.0035300296783447316,0.002072603999999978,0.0014574256783447537,0.002072603999999978,0.188972604,0.18336997032165528
[emim]__[OTf]__R125__303.15__0.3126,327,327,[emim],[OTf],R125,303.15,0.3126,0.0938,FC(F)(F)S(=O)(=O)[O-],C(C)[N+]1=CN(C=C1)C,C(F)(F)(C(F)(F)F),Table S3. VLE HFCs,0.002151215922832489,0.017849067799999993,-0.015697851877167504,0.017849067799999993,0.0759509322,0.09595121592283248
[emim]__[PF6]__R23__332.9__0.04997,331,331,[emim],[PF6],R23,332.9,0.04997,0.003,F[P-](F)(F)(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs,0.00826413345336914,0.00722214498,0.0010419884733691405,0.00722214498,0.01022214498,0.01126413345336914
