model_family,seed,case_id,sample_id,component,group_name,full_group_id,n_atoms,A_g_signed,A_g_abs,A_tilde_g,P_g_atom,P_g_graph
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.123__0.05,Anion,CF3,Anion:CF3,8,0.026973674073815346,0.06047554314136505,0.007559442892670631,0.17158376263325562,0.1705532184877246
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.123__0.05,Anion,Sulfonyl_SO2,Anion:Sulfonyl_SO2,6,0.02083452045917511,0.07814246416091919,0.013023744026819864,0.2217090963668226,0.22037749594166955
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.123__0.05,Anion,Sulfonimide_N,Anion:Sulfonimide_N,1,0.018706178292632103,0.022517744451761246,0.022517744451761246,0.06388829464525417,0.06350457705447402
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.123__0.05,Anion,Alkyl_Chain,Anion:Alkyl_Chain,2,0.011248640716075897,0.026425618678331375,0.013212809339165688,0.07497588028503965,0.07452556987513839
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.123__0.05,Anion,Unclassified,Anion:Unclassified,4,0.008297903463244438,0.015416640788316727,0.0038541601970791817,0.04374074371587356,0.043478033732913736
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.123__0.05,Refri,CHF2,Refri:CHF2,6,-0.03619872033596039,0.08059404045343399,0.013432340075572332,0.22866481206281694,0.22729143512001168
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.0504,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,0.03586246818304062,0.07765194028615952,0.015530388057231902,0.07926878148917689,0.078694510840398
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.0504,Cation,Alkyl_Chain,Cation:Alkyl_Chain,3,0.015459785237908363,0.0221882201731205,0.007396073391040166,0.022650215436411,0.022486123675830253
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.0504,Anion,CF3,Anion:CF3,8,0.05866207182407379,0.1045217365026474,0.013065217062830925,0.10669805108751974,0.10592506634030448
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.0504,Anion,Sulfonyl_SO2,Anion:Sulfonyl_SO2,6,0.043353814631700516,0.14677266776561737,0.024462111294269562,0.14982871627961086,0.1487432670966264
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.0504,Anion,Sulfonimide_N,Anion:Sulfonimide_N,1,0.03052099607884884,0.040738560259342194,0.040738560259342194,0.04158680413497721,0.04128552435569241
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.0504,Anion,Alkyl_Chain,Anion:Alkyl_Chain,2,0.02504989691078663,0.04610055685043335,0.023050278425216675,0.04706044632033125,0.046719512190494895
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.0504,Anion,Unclassified,Anion:Unclassified,4,0.015681762248277664,0.025311509147286415,0.006327877286821604,0.025838536427597376,0.02565134655538016
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.0504,Refri,CF3,Refri:CF3,4,-0.10534018278121948,0.1583184450864792,0.0395796112716198,0.16161489568732898,0.1604440603438922
