model_family,seed,case_id,sample_id,refrigerant,refri_smiles,n_heavy_atoms,top_group_name,top_k_atoms,n_distinct_refri_groups,distinct_refri_groups,delta_y_top,delta_y_random,abs_diff_deltas,r_faith,tie_mechanism
V7-A,43,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.123__0.05,R134,FC(F)C(F)F,6,Refri:CHF2,6,1,CHF2,0.1192446202039718,0.1192446326216061,1.2417634309702663e-08,0.9999998958642076,Monogroup_Molecular_Isomorphism
V7-A,43,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.132__0.1,R134,FC(F)C(F)F,6,Refri:CHF2,6,1,CHF2,0.1666985154151916,0.1666985352834065,1.986821490662649e-08,0.9999998808135002,Monogroup_Molecular_Isomorphism
V7-A,43,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.15,R134,FC(F)C(F)F,6,Refri:CHF2,6,1,CHF2,0.2075437903404235,0.2075437913338343,9.934107980669182e-10,0.9999999952134884,Monogroup_Molecular_Isomorphism
V7-A,43,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.01,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.013432789593935,0.0134327858686447,3.7252903001966375e-09,1.000000277328198,Monogroup_Molecular_Isomorphism
V7-A,43,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0098,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0133926421403884,0.0133926436305046,1.4901161988351008e-09,0.9999998887362228,Monogroup_Molecular_Isomorphism
V7-A,43,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.0998,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.037119947373867,0.0371199468771616,4.967053990334591e-10,1.000000013381091,Monogroup_Molecular_Isomorphism
V7-A,43,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0996,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0401719883084297,0.0401719875633716,7.450580985501887e-10,1.0000000185467064,Monogroup_Molecular_Isomorphism
V7-A,43,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.2__0.2499,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0814829766750335,0.0814829766750335,0.0,1.0,Monogroup_Molecular_Isomorphism
V7-A,43,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.2497,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0925134718418121,0.0925134718418121,0.0,1.0,Monogroup_Molecular_Isomorphism
V7-A,43,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.2__0.3995,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.1189618408679962,0.1189618428548177,1.986821498989322e-09,0.9999999832986658,Monogroup_Molecular_Isomorphism
V7-A,43,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.3996,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.136232852935791,0.1362328539292017,9.934107148001914e-10,0.9999999927079944,Monogroup_Molecular_Isomorphism
V7-A,44,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,R134,FC(F)C(F)F,6,Refri:CHF2,6,1,CHF2,0.0257471203804016,0.025747126340866,5.960464399823451e-09,0.9999997684998164,Monogroup_Molecular_Isomorphism
V7-A,44,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.123__0.05,R134,FC(F)C(F)F,6,Refri:CHF2,6,1,CHF2,0.0235545337200164,0.0235545337200164,0.0,1.0,Monogroup_Molecular_Isomorphism
V7-A,44,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.132__0.1,R134,FC(F)C(F)F,6,Refri:CHF2,6,1,CHF2,0.0204778313636779,0.0204778323570887,9.934108015363652e-10,0.9999999514884812,Monogroup_Molecular_Isomorphism
V7-A,44,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.15,R134,FC(F)C(F)F,6,Refri:CHF2,6,1,CHF2,0.0155960321426391,0.0155960182348887,1.3907750399250185e-08,1.000000891750076,Monogroup_Molecular_Isomorphism
V7-A,44,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.01,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.00910634547472,0.0091063449780146,4.967053990334591e-10,1.0000000545449763,Monogroup_Molecular_Isomorphism
V7-A,44,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0098,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0041525028645992,0.0041525017470121,1.1175871001203874e-09,1.0000002691358505,Monogroup_Molecular_Isomorphism
V7-A,44,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.0998,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0105540975928306,0.0105540975928306,0.0,1.0,Monogroup_Molecular_Isomorphism
V7-A,44,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0996,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0036056563258171,0.0036056568225224,4.96705300154221e-10,0.9999998622427488,Monogroup_Molecular_Isomorphism
V7-A,44,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.2__0.2499,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0039630383253097,0.0039630368351936,1.4901160999558627e-09,1.0000003760036005,Monogroup_Molecular_Isomorphism
V7-A,44,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.2497,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0215822458267211,0.0215822438398997,1.986821401844807e-09,1.0000000920581524,Monogroup_Molecular_Isomorphism
V7-A,44,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.2__0.3995,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0246549546718597,0.0246549606323242,5.960464500437412e-09,0.9999997582448188,Monogroup_Molecular_Isomorphism
V7-A,44,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.3996,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.028811901807785,0.0288119037946065,1.986821498989322e-09,0.999999931041645,Monogroup_Molecular_Isomorphism
V7-A,44,Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__342.9__0.24,R1336mzz(Z),FC(F)(F)/C=C\C(F)(F)F,10,Refri:CF3,8,2,CF3;Alkene_C=C,0.0277373120188713,0.0276754123469193,6.189967195200166e-05,1.0022366305215618,Degenerate_Feature_Sensitivity
V7-A,45,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,R134,FC(F)C(F)F,6,Refri:CHF2,6,1,CHF2,0.0229855626821517,0.0229855701327323,7.450580600393275e-09,0.9999996758583514,Monogroup_Molecular_Isomorphism
V7-A,45,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.123__0.05,R134,FC(F)C(F)F,6,Refri:CHF2,6,1,CHF2,0.0376937240362167,0.0376937225461006,1.4901160999558627e-09,1.000000039532209,Monogroup_Molecular_Isomorphism
V7-A,45,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.132__0.1,R134,FC(F)C(F)F,6,Refri:CHF2,6,1,CHF2,0.0620120763778686,0.0620121181011199,4.172325130530341e-08,0.9999993271758388,Monogroup_Molecular_Isomorphism
V7-A,45,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.15,R134,FC(F)C(F)F,6,Refri:CHF2,6,1,CHF2,0.0791961550712585,0.0791961510976155,3.973642997978644e-09,1.0000000501746982,Monogroup_Molecular_Isomorphism
V7-A,45,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.01,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.001939833164215,0.0019398320466279,1.1175871001203874e-09,1.0000005761256967,Monogroup_Molecular_Isomorphism
V7-A,45,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0098,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0010422058403491,0.0010422052194674,6.208817000027261e-10,1.0000005957384446,Monogroup_Molecular_Isomorphism
V7-A,45,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.0998,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0002300292253494,0.0002300319572289,2.73187949998842e-09,0.9999881239129332,Monogroup_Molecular_Isomorphism
V7-A,45,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0996,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0015668123960494,0.0015668123960494,0.0,1.0,Monogroup_Molecular_Isomorphism
V7-A,45,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.2__0.2499,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0014207065105438,0.0014207060138384,4.967054001176613e-10,1.0000003496186884,Monogroup_Molecular_Isomorphism
V7-A,45,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.2497,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0020013153553009,0.0020013173421223,1.9868214001100837e-09,0.999999007243154,Monogroup_Molecular_Isomorphism
V7-A,45,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.2__0.3995,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0004847347736358,0.0004847317934036,2.9802322000201456e-09,1.0000061482087197,Monogroup_Molecular_Isomorphism
V7-A,45,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.3996,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0029267072677612,0.0029267062743504,9.934108002353226e-10,1.0000003394296022,Monogroup_Molecular_Isomorphism
V7-A,46,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,R134,FC(F)C(F)F,6,Refri:CHF2,6,1,CHF2,0.1110661327838897,0.1110661367575327,3.973642997978644e-09,0.9999999642227316,Monogroup_Molecular_Isomorphism
V7-A,46,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.123__0.05,R134,FC(F)C(F)F,6,Refri:CHF2,6,1,CHF2,0.1483365297317505,0.1483365471164385,1.7384688022481498e-08,0.999999882802395,Monogroup_Molecular_Isomorphism
V7-A,46,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.132__0.1,R134,FC(F)C(F)F,6,Refri:CHF2,6,1,CHF2,0.1838457882404327,0.1838457892338434,9.934106870446158e-10,0.9999999945965,Monogroup_Molecular_Isomorphism
V7-A,46,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.15,R134,FC(F)C(F)F,6,Refri:CHF2,6,1,CHF2,0.2096274197101593,0.2096274107694626,8.940696710757479e-09,1.000000042650418,Monogroup_Molecular_Isomorphism
V7-A,46,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.01,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0068830177187919,0.0068830172220865,4.967053999008209e-10,1.0000000721639009,Monogroup_Molecular_Isomorphism
V7-A,46,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0098,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0042096488177776,0.00420965043207,1.6142924002746084e-09,0.9999996165257689,Monogroup_Molecular_Isomorphism
V7-A,46,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.0998,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0325518697500228,0.0325518665214379,3.228584899428455e-09,1.0000000991827895,Monogroup_Molecular_Isomorphism
V7-A,46,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0996,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0341000631451606,0.0341000624001026,7.45058001405674e-10,1.0000000218491698,Monogroup_Molecular_Isomorphism
V7-A,46,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.2__0.2499,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.098476842045784,0.0984768336017926,8.443991394990746e-09,1.0000000857459672,Monogroup_Molecular_Isomorphism
V7-A,46,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.2497,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.1233433336019516,0.1233433470129966,1.3411044996747279e-08,0.9999998912706246,Monogroup_Molecular_Isomorphism
V7-A,46,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.2__0.3995,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.1430012881755828,0.1430012971162796,8.940696794024205e-09,0.9999999374782124,Monogroup_Molecular_Isomorphism
V7-A,46,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.3996,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.1741634011268615,0.1741633961598078,4.967053685023259e-09,1.0000000285195043,Monogroup_Molecular_Isomorphism
V7-B,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,R134,FC(F)C(F)F,6,Refri:CHF2,6,1,CHF2,0.1524828448891639,0.1524828436474005,1.2417633865613453e-09,1.000000008143627,Monogroup_Molecular_Isomorphism
V7-B,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.123__0.05,R134,FC(F)C(F)F,6,Refri:CHF2,6,1,CHF2,0.2041999101638794,0.204199909667174,4.967053990334591e-10,1.0000000024324465,Monogroup_Molecular_Isomorphism
V7-B,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.132__0.1,R134,FC(F)C(F)F,6,Refri:CHF2,6,1,CHF2,0.252567708492279,0.2525677089889844,4.967053990334591e-10,0.9999999980333772,Monogroup_Molecular_Isomorphism
V7-B,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.15,R134,FC(F)C(F)F,6,Refri:CHF2,6,1,CHF2,0.2835491895675659,0.2835491855939229,3.973643025734219e-09,1.000000014013946,Monogroup_Molecular_Isomorphism
V7-B,42,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.01,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0212989151477813,0.0212989116708437,3.4769375989451845e-09,1.0000001632448487,Monogroup_Molecular_Isomorphism
V7-B,42,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0098,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0213830769062042,0.0213830756644407,1.2417635010530947e-09,1.0000000580722554,Monogroup_Molecular_Isomorphism
V7-B,42,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.0998,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.044883619993925,0.0448836186279853,1.3659396946863467e-09,1.0000000304329246,Monogroup_Molecular_Isomorphism
V7-B,42,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0996,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0464610382914543,0.0464610330760478,5.215406502501185e-09,1.000000112253346,Monogroup_Molecular_Isomorphism
V7-B,42,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.2__0.2499,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0881345272064209,0.088134524722894,2.483526898022781e-09,1.0000000281788195,Monogroup_Molecular_Isomorphism
V7-B,42,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.2497,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0914862900972366,0.0914862896005312,4.967053990334591e-10,1.0000000054292877,Monogroup_Molecular_Isomorphism
V7-B,42,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.2__0.3995,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0840490460395813,0.0840490380922953,7.947285995957287e-09,1.000000094555347,Monogroup_Molecular_Isomorphism
V7-B,42,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.3996,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0851536393165588,0.0851536432902018,3.973642997978644e-09,0.999999953335608,Monogroup_Molecular_Isomorphism
V7-B,43,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,R134,FC(F)C(F)F,6,Refri:CHF2,6,1,CHF2,0.1457799077033996,0.1457799049715201,2.731879500394996e-09,1.000000018739754,Monogroup_Molecular_Isomorphism
V7-B,43,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.123__0.05,R134,FC(F)C(F)F,6,Refri:CHF2,6,1,CHF2,0.2113276124000549,0.2113276104132334,1.9868215128671096e-09,1.0000000094016182,Monogroup_Molecular_Isomorphism
V7-B,43,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.132__0.1,R134,FC(F)C(F)F,6,Refri:CHF2,6,1,CHF2,0.2896810472011566,0.2896810392538706,7.947285995957287e-09,1.0000000274346088,Monogroup_Molecular_Isomorphism
V7-B,43,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.15,R134,FC(F)C(F)F,6,Refri:CHF2,6,1,CHF2,0.3540326356887817,0.3540326332052548,2.483526884144993e-09,1.000000007014966,Monogroup_Molecular_Isomorphism
V7-B,43,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.01,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0184700861573219,0.0184700839221477,2.2351741985060514e-09,1.0000001210159188,Monogroup_Molecular_Isomorphism
V7-B,43,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0098,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0152534507215023,0.0152534460028012,4.718701099998279e-09,1.0000003093531156,Monogroup_Molecular_Isomorphism
V7-B,43,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.0998,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0480164587497711,0.0480164614816506,2.731879500394996e-09,0.9999999431053546,Monogroup_Molecular_Isomorphism
V7-B,43,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0996,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0463988110423088,0.0463988167544206,5.712111797451236e-09,0.999999876891003,Monogroup_Molecular_Isomorphism
V7-B,43,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.2__0.2499,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.1025350391864776,0.1025350337227185,5.463759111812294e-09,1.000000053286754,Monogroup_Molecular_Isomorphism
V7-B,43,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.2497,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.1107337772846221,0.1107337762912114,9.934107009224036e-10,1.000000008971163,Monogroup_Molecular_Isomorphism
V7-B,43,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.2__0.3995,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.1512771993875503,0.1512772078315417,8.443991394990746e-09,0.999999944181999,Monogroup_Molecular_Isomorphism
V7-B,43,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.3996,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.1530284285545349,0.1530284474293391,1.88748041918263e-08,0.9999998766581998,Monogroup_Molecular_Isomorphism
V7-B,44,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,R134,FC(F)C(F)F,6,Refri:CHF2,6,1,CHF2,0.0605102926492691,0.0605102941393852,1.4901160999558627e-09,0.9999999753741716,Monogroup_Molecular_Isomorphism
V7-B,44,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.123__0.05,R134,FC(F)C(F)F,6,Refri:CHF2,6,1,CHF2,0.0816924571990966,0.0816924571990966,0.0,1.0,Monogroup_Molecular_Isomorphism
V7-B,44,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.132__0.1,R134,FC(F)C(F)F,6,Refri:CHF2,6,1,CHF2,0.0895506143569946,0.0895506203174591,5.9604644969679654e-09,0.999999933440277,Monogroup_Molecular_Isomorphism
V7-B,44,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.15,R134,FC(F)C(F)F,6,Refri:CHF2,6,1,CHF2,0.0918449759483337,0.0918449898560841,1.3907750395780738e-08,0.9999998485736624,Monogroup_Molecular_Isomorphism
V7-B,44,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.01,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.00572020560503,0.0057202043632666,1.2417633995717714e-09,1.0000002170837532,Monogroup_Molecular_Isomorphism
V7-B,44,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0098,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0073029026389122,0.0073029023905595,2.483527003840913e-10,1.0000000340073951,Monogroup_Molecular_Isomorphism
V7-B,44,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.0998,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0048228725790977,0.0048228753109773,2.7318796001415957e-09,0.999999433557914,Monogroup_Molecular_Isomorphism
V7-B,44,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0996,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0057832598686218,0.0057832645873228,4.718701000251679e-09,0.999999184076576,Monogroup_Molecular_Isomorphism
V7-B,44,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.2__0.2499,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0490622222423553,0.0490622043609619,1.7881393400698276e-08,1.0000003644637183,Monogroup_Molecular_Isomorphism
V7-B,44,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.2497,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0476573705673217,0.047657365600268,4.967053698901047e-09,1.0000001042242614,Monogroup_Molecular_Isomorphism
V7-B,44,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.2__0.3995,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0479330122470855,0.0479330152273178,2.98023229705624e-09,0.999999937825062,Monogroup_Molecular_Isomorphism
V7-B,44,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.3996,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0401598811149597,0.0401598711808522,9.934107501885503e-09,1.000000247364027,Monogroup_Molecular_Isomorphism
V7-B,45,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,R134,FC(F)C(F)F,6,Refri:CHF2,6,1,CHF2,0.0631583034992218,0.0631582992772261,4.221995697495373e-09,1.0000000668478366,Monogroup_Molecular_Isomorphism
V7-B,45,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.123__0.05,R134,FC(F)C(F)F,6,Refri:CHF2,6,1,CHF2,0.0755617320537567,0.0755617434779803,1.1424223594902472e-08,0.9999998488094232,Monogroup_Molecular_Isomorphism
V7-B,45,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.132__0.1,R134,FC(F)C(F)F,6,Refri:CHF2,6,1,CHF2,0.0794189572334289,0.0794189472993214,9.934107494946609e-09,1.0000001250848545,Monogroup_Molecular_Isomorphism
V7-B,45,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.15,R134,FC(F)C(F)F,6,Refri:CHF2,6,1,CHF2,0.0822572112083435,0.0822572231292724,1.1920928896791416e-08,0.9999998550774206,Monogroup_Molecular_Isomorphism
V7-B,45,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.01,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0096483454108238,0.009648344417413,9.934107998016417e-10,1.000000102961783,Monogroup_Molecular_Isomorphism
V7-B,45,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0098,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0156325250864028,0.0156325271974007,2.110997900789391e-09,0.9999998649611922,Monogroup_Molecular_Isomorphism
V7-B,45,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.0998,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0424910932779312,0.0424910947680473,1.4901160999558627e-09,0.999999964931096,Monogroup_Molecular_Isomorphism
V7-B,45,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0996,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.055596224963665,0.0555962304274241,5.463759097934506e-09,0.9999999017242884,Monogroup_Molecular_Isomorphism
