case_id,sample_id,seed,component,group_name,full_group_id,n_atoms,A_g_signed,A_g_abs,A_tilde_g,P_g,group_rank
Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,44,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,-1.1731737579457993e-18,2.167918376361134e-18,4.335836752722268e-19,2.1679071111412335e-06,1
Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,44,Anion,BF4_Core,Anion:BF4_Core,5,-3.5060941097805706e-19,9.792204416457604e-19,1.9584408832915208e-19,9.7921535329293e-07,2
Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,44,Refri,CF3,Refri:CF3,4,-1.881370184410922e-19,8.354770014523873e-19,2.0886925036309682e-19,8.354726600379476e-07,3
Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,44,Refri,Halogenated_Alkene,Refri:Halogenated_Alkene,3,-2.8115099354966824e-19,6.706987460227028e-19,2.235662486742343e-19,6.706952608505011e-07,4
Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,44,Cation,Alkyl_Chain,Cation:Alkyl_Chain,3,-3.340172761830172e-20,5.430427150478702e-19,1.8101423834929007e-19,5.430398932185674e-07,5
Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,45,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,0.006626121466979384,0.01784625044092536,0.003569250088185072,0.31965654428904516,1
Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,45,Refri,CF3,Refri:CF3,4,-0.0012451624497771263,0.013765816111117601,0.0034414540277794003,0.24656906065306514,2
Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,45,Refri,Halogenated_Alkene,Refri:Halogenated_Alkene,3,0.0030197002924978733,0.011320408899337053,0.003773469633112351,0.2027676794450164,3
Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,45,Anion,BF4_Core,Anion:BF4_Core,5,-0.004687303968239576,0.00810562795959413,0.0016211255919188262,0.14518551285791412,4
Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,45,Cation,Alkyl_Chain,Cation:Alkyl_Chain,3,0.0017613496165722609,0.0047913509188219905,0.0015971169729406636,0.08582120273704752,5
Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,46,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,0.0,0.0,0.0,0.0,1
Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,46,Cation,Alkyl_Chain,Cation:Alkyl_Chain,3,0.0,0.0,0.0,0.0,2
