case_id,sample_id,seed,top_group_name,top_group_component,top_k_atoms,delta_y_top,delta_y_rand_mean,delta_y_rand_comp_mean,delta_y_rand_glob_mean,r_faith,r_faith_comp,r_faith_glob,y_orig,y_base,comp_rel_err
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,44,Cation:Imidazolium_Ring,Cation,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060441844165325165,0.060441844165325165,0.0
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,45,Refri:Halogenated_Alkene,Refri,3,0.04106946289539337,0.008927920460700988,0.008927920460700988,0.010485938688119253,4.60011523133224,4.60011523133224,3.9166224519246686,0.19693641364574432,0.066269151866436,0.01528088027139451
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,46,Cation:Alkyl_Chain,Cation,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06683144718408585,0.06683144718408585,1.2348693405881451e-14
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,42,Anion:PF6_Core,Anion,7,3.725290298461914e-09,3.725290298461914e-09,3.725290298461914e-09,3.849466641743978e-09,0.3725290298461914,0.3725290298461914,0.3725290298461914,0.03448377922177315,0.034483786672353745,0.0071078017360726164
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,43,Anion:PF6_Core,Anion,7,1.862645149230957e-09,1.4280279477437338e-09,1.4280279477437338e-09,1.986821492513021e-09,0.1862645149230957,0.1862645149230957,0.1862645149230957,0.029217438772320747,0.029217446222901344,0.006461538637481112
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,44,Cation:Imidazolium_Ring,Cation,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058811500668525696,0.058811500668525696,0.0
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,45,Refri:Halogenated_Alkene,Refri,3,0.03447268158197403,0.014229802538951238,0.014229802538951238,0.008899248267213503,2.4225692160950203,2.4225692160950203,3.8736621956011548,0.07733474671840668,0.0453079417347908,0.07645016418269818
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,46,Cation:Alkyl_Chain,Cation,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056026753038167953,0.056026753038167953,8.905226141941293e-14
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,42,Anion:CF3,Anion,8,2.9802322387695312e-08,2.9802322387695312e-08,2.9802322387695312e-08,2.9802322387695312e-08,1.0,1.0,1.0,0.26363804936408997,0.26363810896873474,2.0534685063466895e-05
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,43,Anion:CF3,Anion,8,1.4901161193847656e-08,1.8378098805745444e-08,1.8378098805745444e-08,1.7881393432617187e-08,0.8108108108108107,0.8108108108108107,0.8333333333333334,0.23213309049606323,0.23213301599025726,0.020426007552032388
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,44,Cation:Imidazolium_Ring,Cation,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15957865118980408,0.15957865118980408,0.0
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,45,Refri:CHF2,Refri,6,0.0022799670696258545,0.002279965082804362,0.002279965082804362,0.002569262683391571,1.000000871426281,1.000000871426281,0.8874013094745805,0.17259672284126282,0.166752889752388,0.12173454062365334
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,46,Anion:CF3,Anion,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15670645236968994,0.15670645236968994,6.443439186767566e-13
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.0103,42,Anion:CF3,Anion,8,0.0,1.4901161193847657e-09,1.4901161193847657e-09,2.9802322387695314e-09,0.0,0.0,0.0,0.12677285075187683,0.1267729103565216,0.005326413088369009
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.0103,43,Anion:CF3,Anion,8,2.2351741790771484e-08,1.862645149230957e-08,1.862645149230957e-08,1.7136335372924803e-08,1.2,1.2,1.3043478260869565,0.09555229544639587,0.0955522283911705,0.005672298186709668
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.0103,44,Cation:Imidazolium_Ring,Cation,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0840366780757904,0.0840366780757904,0.0
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.0103,45,Refri:CH2F,Refri,2,0.05554363876581192,0.00038168951869010925,0.00038168951869010925,0.0003045263389746348,145.52047160327547,145.52047160327547,182.39354583525324,0.07365263998508453,0.01851528510451317,0.005966763600478649
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.0103,46,Anion:CF3,Anion,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0776088535785675,0.0776088535785675,3.968183146282062e-13
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.123__0.05,42,Anion:CF3,Anion,8,2.9802322387695312e-08,2.7815500895182292e-08,2.7815500895182292e-08,9.934107462565104e-09,1.0714285714285714,1.0714285714285714,2.9802322387695312,0.35242602229118347,0.35242608189582825,0.012124218073950033
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.123__0.05,43,Anion:CF3,Anion,8,5.960464477539063e-08,3.178914388020833e-08,3.178914388020833e-08,2.6822090148925782e-08,1.875,1.875,2.2222222222222223,0.31962233781814575,0.3196222484111786,0.007421995462664199
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.123__0.05,44,Cation:Imidazolium_Ring,Cation,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2611831724643707,0.2611831724643707,0.0
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.123__0.05,45,Refri:CHF2,Refri,6,0.0043686628341674805,0.0043686628341674805,0.0043686628341674805,0.0037572026252746583,1.0,1.0,1.1627434743017415,0.27556246519088745,0.26607412099838257,0.09201894929266025
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.123__0.05,46,Anion:CF3,Anion,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26351678371429443,0.26351678371429443,7.370622316463075e-13
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.0504,42,Anion:CF3,Anion,8,0.0,4.967053731282552e-10,4.967053731282552e-10,0.0,0.0,0.0,0.0,0.1864858865737915,0.18648594617843628,0.007313722960589075
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.0504,43,Anion:CF3,Anion,8,1.4901161193847656e-08,1.7384688059488933e-08,1.7384688059488933e-08,1.5397866566975913e-08,0.8571428571428571,0.8571428571428571,0.9677419354838709,0.1612904667854309,0.16129039227962494,0.00030048141752558877
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.0504,44,Cation:Imidazolium_Ring,Cation,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14628520607948303,0.14628520607948303,0.0
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.0504,45,Refri:CH2F,Refri,2,0.08935437351465225,0.00022955089807510375,0.00022955089807510375,0.0002085184057553609,389.25734668839135,389.25734668839135,428.5203178633788,0.13826557993888855,0.049485914409160614,0.01595863644965657
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.0504,46,Anion:CF3,Anion,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14154353737831116,0.14154353737831116,4.659617991942368e-13
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.132__0.1,42,Anion:CF3,Anion,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46837732195854187,0.46837738156318665,0.014865065622871043
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.132__0.1,43,Anion:CF3,Anion,8,5.960464477539063e-08,2.483526865641276e-08,2.483526865641276e-08,2.0861625671386717e-08,2.4,2.4,2.857142857142857,0.4292517602443695,0.42925164103507996,0.02546304500583574
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.132__0.1,44,Cation:Imidazolium_Ring,Cation,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41425564885139465,0.41425564885139465,0.0
