sample_id,split,mode,anion,refrigerant,true_x1,pred_x1,abs_error,IG_T,IG_P,IG_ref_charge,IG_ref_logp,IG_ani_mw,IG_cat_charge,IG_cat_tpsa,IG_ref_MW,IG_cat_MW,group_abs_thermo_state,group_share_thermo_state,group_abs_ref_physical,group_share_ref_physical,group_abs_anion_physical,group_share_anion_physical,group_abs_cation_physical,group_share_cation_physical,IG_Tr,IG_Pr,IG_omega,group_abs_reduced_priors,group_share_reduced_priors
[hmim]__[PF6]__R134a__323__0.34,B2,M0,PF6,R134A,0.16590000689029694,0.16016779839992523,0.005732208490371704,-0.05632319301366806,0.011479435488581657,-0.249688982963562,-0.07197598367929459,-0.16208766400814056,-0.005693987011909485,-0.004819563589990139,0.1637880653142929,-0.025128060951828957,0.06780263036489487,0.09028493693793503,0.4854530096054077,0.6464217409070862,0.16208766400814056,0.215833433668217,0.035641610622406006,0.047459819037882704,,,,,
[hmim]__[PF6]__R134a__348__2.057,B2,M0,PF6,R134A,0.6367999911308289,0.6717663049697876,0.03496631383895876,-0.19229570031166077,0.3980388939380646,-0.2219853401184082,-0.05447976663708687,-0.07763281464576721,-0.0028328895568847656,-0.0019937825854867697,0.27191537618637085,-0.009687138721346855,0.5903345942497253,0.47961079171469,0.5483804941177368,0.4455256485162745,0.07763281464576721,0.06307191897269286,0.014513811096549034,0.01179158480397081,,,,,
[emim]__[BF4]__R32__283.15__0.0379,B2,Mreduced,BF4,R32,0.026000000536441803,0.02552601844072342,0.0004739820957183824,0.04272396117448807,-0.15273147821426392,0.05191822722554207,0.04562375321984291,-0.1322934329509735,-0.0032379459589719772,-0.005055567249655724,-0.08972389996051788,-0.025355961173772812,0.1954554319381714,0.26372130515068126,0.18726587295532227,0.2526714143282627,0.1322934329509735,0.1784989880032151,0.03364947438240051,0.04540208073914377,0.0365166962146759,-0.14498315751552582,-0.010979813523590565,0.19247967004776,0.259706211777348
[emim]__[BF4]__R32__293.15__0.0369,B2,Mreduced,BF4,R32,0.021199999377131462,0.021659974381327628,0.0004599750041961656,0.019788645207881927,-0.13869091868400574,0.04429163411259651,0.03724830225110054,-0.12268532812595367,-0.002263468923047185,-0.004095543175935745,-0.07470633089542389,-0.025713780894875526,0.15847957134246826,0.25345943551397787,0.15624627470970154,0.24988768112897197,0.12268532812595367,0.19621301186797538,0.03207279369235039,0.05129463763536194,0.015746448189020157,-0.1302768588066101,-0.00975876860320568,0.1557820737361908,0.24914527555761398
[emim]__[BF4]__R32__303.15__0.45,B2,Mreduced,BF4,R32,0.18310000002384186,0.1817129909992218,0.0013870090246200506,0.012747121043503284,0.03172861784696579,0.05373208597302437,0.025157421827316284,-0.2016625851392746,-0.005193209275603294,0.00046239240327849984,-0.09352027624845505,-0.05002061650156975,0.0444757379591465,0.09006352631996817,0.1724097728729248,0.3491303984932998,0.2016625851392746,0.40836744656439694,0.05567621812224388,0.11274453817618517,-0.0001260932331206277,0.007387726102024317,-0.012088168412446976,0.019601987674832344,0.039694094215987984
[emim]__[BF4]__R32__313.15__0.8307,B2,Mreduced,BF4,R32,0.24230000376701355,0.29385221004486084,0.05155220627784729,-0.0002392754831817001,0.11582435667514801,0.07440675795078278,0.02076786570250988,-0.1830342561006546,-0.0050035626627504826,0.0029389411211013794,-0.09324625134468079,-0.04917857050895691,0.11606363207101822,0.17305325328333082,0.1884208768606186,0.28093938769102195,0.1830342561006546,0.2729078257789761,0.05712107568979263,0.08516869412731688,-0.051495157182216644,0.06160449981689453,-0.012942159548401833,0.12604181468486786,0.18793092798960975
[emim]__[BF4]__R134a__283.15__0.2517,B2,Mreduced,BF4,R134A,0.20730000734329224,0.20602987110614776,0.0012701362371444758,0.13889546692371368,-0.04344681650400162,-0.11878512054681778,-0.02170439623296261,-0.3194226026535034,-0.006209527608007193,-0.003948627505451441,0.06984105706214905,-0.05720275640487671,0.1823422908782959,0.18452480728507836,0.21033057570457458,0.21284809333645313,0.3194226026535034,0.32324587956655776,0.06736090779304504,0.06816717322782676,0.1816491335630417,-0.020324235782027245,-0.006742475088685751,0.20871584117412567,0.2112140315035538
[emim]__[BF4]__R134a__283.15__0.3956,B2,Mreduced,BF4,R134A,0.42660000920295715,0.3696098327636719,0.05699017643928528,0.15218587219715118,0.04273772984743118,-0.13741722702980042,-0.023420998826622963,-0.3501182198524475,-0.011136455461382866,-0.0029676223639398813,0.0791122317314148,-0.07237124443054199,0.19492360949516296,0.16538721521897573,0.23995046317577362,0.20359123760289982,0.3501182198524475,0.2970654890333247,0.08647532016038895,0.07337188359858983,0.24060115218162537,0.053006697446107864,-0.013513939455151558,0.30712181329727173,0.26058424408305664
[emim]__[BF4]__R134a__303.15__0.2685,B2,Mreduced,BF4,R134A,0.10289999842643738,0.11180862486362457,0.008908626437187192,0.02868778444826603,-0.02202221006155014,-0.08801984041929245,-0.01472109742462635,-0.2347743958234787,-0.0011573827359825373,-0.0037298710085451603,0.04251231625676155,-0.0443725511431694,0.05070999264717102,0.0943984241564828,0.1452532559633255,0.27039401409381003,0.2347743958234787,0.4370407456421334,0.04925980418920517,0.0916988476427494,0.046784184873104095,-0.007292355410754681,-0.0031171240843832493,0.05719366669654846,0.10646801007151165
[emim]__[BF4]__R134a__313.15__0.4496,B2,Mreduced,BF4,R134A,0.12449999898672104,0.16944079399108886,0.04494079500436782,-0.001401893561705947,0.047666583210229874,-0.1016998291015625,-0.015656642615795135,-0.22664065659046173,-0.00341673637740314,-0.002510329242795706,0.04472954198718071,-0.0585266537964344,0.049068477004766464,0.08371461412241982,0.16208600997924805,0.27653126015583,0.22664065659046173,0.3866664765054627,0.06445372104644775,0.10996302953591422,0.03053169883787632,0.04852057248353958,-0.0048388228751719,0.08389109373092651,0.14312468959063201
