dataset,split,mode,quantile,n_samples,sigma_range,mean_sigma,mean_mae
M1_LORO,loro_R236fa,Mreduced,Q4,14,"[0.0614, 0.0660]",0.06371823955308456,0.051668538632137426
M1_LORO,loro_R245fa,M0,Q1,14,"[0.0000, 0.0044]",0.0016417814925932933,0.05109434432483143
M1_LORO,loro_R245fa,M0,Q2,13,"[0.0044, 0.0119]",0.0073984288652298915,0.07724131920303288
M1_LORO,loro_R245fa,M0,Q3,14,"[0.0119, 0.0199]",0.016124415329844266,0.1095125714849148
M1_LORO,loro_R245fa,M0,Q4,14,"[0.0199, 0.0362]",0.02657445618798957,0.11909845174689378
M1_LORO,loro_R245fa,Mreduced,Q1,14,"[0.0213, 0.0285]",0.02547040716901274,0.03423097809510571
M1_LORO,loro_R245fa,Mreduced,Q2,13,"[0.0285, 0.0334]",0.031073943140705905,0.043388076699697034
M1_LORO,loro_R245fa,Mreduced,Q3,14,"[0.0334, 0.0358]",0.03451404365288259,0.07671946026384832
M1_LORO,loro_R245fa,Mreduced,Q4,14,"[0.0358, 0.0455]",0.0407409731357124,0.07839428606842246
M1_LORO,loro_R32,M0,Q1,72,"[0.0241, 0.0535]",0.043350653296059,0.04161464070138107
M1_LORO,loro_R32,M0,Q2,71,"[0.0535, 0.0618]",0.05817359172493018,0.05805475077539369
M1_LORO,loro_R32,M0,Q3,72,"[0.0618, 0.0891]",0.07424140628063654,0.05827006243376268
M1_LORO,loro_R32,M0,Q4,72,"[0.0891, 0.3338]",0.16568554571674904,0.09427771780044876
M1_LORO,loro_R32,Mreduced,Q1,72,"[0.0059, 0.0175]",0.0129392082515863,0.06550493670381712
M1_LORO,loro_R32,Mreduced,Q2,71,"[0.0175, 0.0256]",0.021159005741349973,0.09396689947707658
M1_LORO,loro_R32,Mreduced,Q3,72,"[0.0256, 0.0367]",0.03137466652381206,0.12380190444592801
M1_LORO,loro_R32,Mreduced,Q4,72,"[0.0367, 0.0983]",0.058271998894767925,0.1631255005550985
M1_LORO,loro_R41,M0,Q1,10,"[0.0156, 0.0310]",0.02523382513135263,0.01045320681296288
M1_LORO,loro_R41,M0,Q2,9,"[0.0310, 0.0382]",0.03368804144247759,0.01828893499655857
M1_LORO,loro_R41,M0,Q3,10,"[0.0382, 0.0514]",0.0431094591703011,0.016089773960411547
M1_LORO,loro_R41,M0,Q4,10,"[0.0514, 0.0920]",0.0722360678329846,0.06009673692286014
M1_LORO,loro_R41,Mreduced,Q1,10,"[0.0043, 0.0185]",0.01254547957883656,0.016915060281753522
M1_LORO,loro_R41,Mreduced,Q2,9,"[0.0185, 0.0307]",0.025978261959084842,0.026786234229803075
M1_LORO,loro_R41,Mreduced,Q3,10,"[0.0307, 0.0379]",0.03463529867815801,0.0339368131197989
M1_LORO,loro_R41,Mreduced,Q4,10,"[0.0379, 0.0731]",0.04510265427544796,0.037950591417029486
Split_B,B1,M0,Q1,128,"[0.0020, 0.0064]",0.004601725935629332,0.016329085640609267
Split_B,B1,M0,Q2,128,"[0.0064, 0.0109]",0.008582873684688902,0.02392727301921696
Split_B,B1,M0,Q3,128,"[0.0109, 0.0154]",0.012909105900360068,0.029944741680083098
Split_B,B1,M0,Q4,129,"[0.0154, 0.0382]",0.020357313182642712,0.04455481502841147
Split_B,B1,Mreduced,Q1,128,"[0.0011, 0.0043]",0.0031018302506316334,0.01016339671041351
Split_B,B1,Mreduced,Q2,128,"[0.0043, 0.0074]",0.005791694168620798,0.01758913071753341
Split_B,B1,Mreduced,Q3,128,"[0.0074, 0.0131]",0.010045370073634763,0.03454971652390669
Split_B,B1,Mreduced,Q4,129,"[0.0131, 0.0300]",0.0178968973786106,0.054376135752067095
Split_B,B1,Mthermo,Q1,128,"[0.0016, 0.0055]",0.003991471130404995,0.02728277180576697
Split_B,B1,Mthermo,Q2,128,"[0.0055, 0.0077]",0.0065286121528509876,0.027662091505771973
Split_B,B1,Mthermo,Q3,128,"[0.0077, 0.0121]",0.009522625228314313,0.027127992289024405
Split_B,B1,Mthermo,Q4,129,"[0.0121, 0.0371]",0.01736012898570748,0.032957860551658995
Split_B,B2,M0,Q1,150,"[0.0020, 0.0111]",0.00849229886263708,0.025541787511824315
Split_B,B2,M0,Q2,149,"[0.0111, 0.0158]",0.013291250660961065,0.03705542280632478
Split_B,B2,M0,Q3,149,"[0.0158, 0.0227]",0.018831545918313885,0.0604643507166797
Split_B,B2,M0,Q4,150,"[0.0227, 0.0639]",0.03270332197057869,0.08417855280886094
